"","NR_CONVENIO","ID_PROPOSTA","SIT_CONVENIO","INSTRUMENTO_ATIVO","IND_OPERA_OBTV","DIA_INIC_VIGENC_CONV","DIA_FIM_VIGENC_CONV","Ano_FIM","DIA_FIM_VIGENC_ORIGINAL_CONV","VL_GLOBAL_CONV","VL_REPASSE_CONV","VL_CONTRAPARTIDA_CONV","VALOR_GLOBAL_ORIGINAL_CONV","VALOR_REPASSE_EMENDA","MUNICIPIO","OBJETO_PROPOSTA","NATUREZA_JURIDICA","NM_PROPONENTE","DESC_ORGAO_SUP","DESC_ORGAO","PORCENT_EMENDA","PORCENT_CONTRAPARTIDA","ATRASO","MESES_ATRASO"
"1",769362,543312,"Prestação de Contas Aprovada","NÃO","NÃO","10/06/2012","30/09/2017",2015,"25/02/2015",61309247.98,56202196.02,5107051.96,59276345.4,0,"NOVA IGUACU","Constitui objeto deste Convênio – A execução das ações programadas no Projeto de Assistência Técnica dos Setores de Energia e Mineral – META, apoiando e investindo no desenvolvimento de pesquisas e tecnologias do setor de energia elétrica mediante o reaparelhamento dos laboratórios do Centro de Pesquisas de Energia Elétrica – CEPEL, conforme Plano de Trabalho aprovado. Para a primeira fase do Projeto META foi priorizado o cumprimento da meta estabelecida na Carta-Consulta de estudos que envolvam mudanças climáticas para fornecer subsídios aos modelos matemáticos que são utilizados para o gerenciamento dos recursos hídricos utilizados no processo de geração hidrelétrica; Expansão e atualização da subestação de 138 kv da unidade CEPEL - Adrianópolis, mínima necessária, para atender a inclusão do novo laboratório de UAT; Laboratório de Smart Grid, visando à pesquisa experimental, desenvolvimento e avaliação de tecnologias em Smart Grid; Projeto LongDist - Transmissão a Longas Distâncias (infraestrutura laboratorial para pesquisa experimental e desenvolvimento de novas concepções de linhas de transmissão de alta capacidade, visando a transmissão de grandes blocos de energia da região Norte) e Laboratório de PMUs (Unidades de Medição Fasorial), visando à investigação do comportamento de Unidades de Medição Fasorial (PMUs), para aplicações no Sistema Interligado Nacional e em sistemas elétricos de potência, em geral.","Organização da Sociedade Civil","CENTRO DE PESQUISAS DE ENERGIA ELETRICA CEPEL","MINISTERIO DE MINAS E ENERGIA","MINISTERIO DE MINAS E ENERGIA",0,8.33,"Sim",32
"2",772420,593305,"Convênio Anulado","NÃO","NÃO","30/08/2012","30/08/2015",2015,"30/08/2015",380500,350000,30500,NA,0,"NOVA IGUACU","O projeto ora apresentado é necessário para a implantação do Projeto Rede Cegonha no Departamento Materno-Infantil da Unidade de Saúde Hospital Geral de Nova Iguaçu (HGNI) e o cumprimento das normas técnicas garantindo à população a oferta de serviços,  buscando a valorização dos diferentes sujeitos implicados no processo de produção de saúde, visando uma atenção humanizada e fortalecendo seu papel e sua integração com a rede de saúde no município e na Baixada Fluminense.","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",0,8.02,"Nao",0
"3",773032,598957,"Convênio Anulado","NÃO","NÃO","31/12/2012","01/03/2015",2015,"01/03/2015",11135478.26,10244640,890838.26,NA,10244640,"TERESOPOLIS","Construção de unidades habitacionais.","Administração Pública Municipal","MUNICIPIO DE TERESOPOLIS","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",92,8,"Nao",0
"4",774770,595701,"Em execução","SIM","NÃO","28/12/2012","31/12/2020",2015,"28/06/2015",280199.46,250000,30199.46,271740.26,0,"SEROPEDICA","AMPLIAÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE DA  MATERNIDADE DO  HOSPITAL MUNICIPAL DE SEROPÉDICA","Administração Pública Municipal","MUNICIPIO DE SEROPEDICA","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",0,10.78,"Sim",67
"5",774790,630920,"Prestação de Contas Concluída","NÃO","NÃO","31/12/2012","31/12/2019",2016,"30/06/2016",15839396.48,14255456.83,1583939.65,NA,0,"RIO DE JANEIRO","Estruturação de centro de referência e transplante.","Administração Pública Estadual ou do Distrito Federal","UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",0,10,"Sim",43
"6",774846,616109,"Prestação de Contas Concluída","NÃO","NÃO","26/12/2012","31/12/2018",2015,"30/06/2015",5477315.26,4350000,1127315.26,4578940,0,"RIO DE JANEIRO","Implantação de Banco de Alimentos por meio de elaboração de projeto de engenharia, construção (reforma / ampliação / conclusão) de edificação e aquisição de equipamentos e utensílios.","Administração Pública Estadual ou do Distrito Federal","SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA, PESCA E ABASTECIMENTO - SEAPPA","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",0,20.58,"Sim",43
"7",775668,616878,"Prestação de Contas Concluída","NÃO","NÃO","31/12/2012","01/02/2018",2015,"01/08/2015",317750.72,307750.72,10000,NA,0,"ITABORAI","Construção de Centro de Referência Especializado de Assistência Social - CREAS no município de Itaboraí.","Administração Pública Municipal","MUNICIPIO DE ITABORAI","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",0,3.15,"Sim",30
"8",776221,619137,"Prestação de Contas Concluída","NÃO","NÃO","31/12/2012","28/02/2018",2015,"01/08/2015",367500,350000,17500,NA,0,"SAQUAREMA","CONSTRUÇÃO DE CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS","Administração Pública Municipal","MUNICIPIO DE SAQUAREMA","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",0,4.76,"Sim",31
"9",776237,620163,"Prestação de Contas Aprovada","NÃO","NÃO","31/12/2012","30/10/2017",2015,"01/08/2015",447671.52,350000,97671.52,NA,0,"RIO BONITO","Construção de Centro de Referância da Assistência Social - CRAS","Administração Pública Municipal","MUNICIPIO DE RIO BONITO","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",0,21.82,"Sim",27
"10",779110,640532,NA,"SIM","SIM","10/12/2013","30/04/2015",2015,"30/04/2015",3420000,3e+06,420000,NA,3e+06,"RIO DE JANEIRO","Reforma, incluindo a elaboração de todos os projetos complememntares necessários a obra e aquisição de bens permanentes para o espaço multiuso de Arte e Cultura - Bela Maré -. de propriedade do Observatório de Favelas do Rio de Janeiro, que o gerencia. É localizado no Complexo de  Favelas da Maré, Avenida Brasil-RJ.","Administração Pública Municipal","MUNICIPIO DE RIO DE JANEIRO","MINISTERIO DA CULTURA","MINISTERIO DA CULTURA",87.72,12.28,"Nao",0
"11",781210,636655,"Convênio Anulado","NÃO","NÃO","28/12/2012","28/05/2016",2016,"28/05/2016",1469011.29,1269011.29,2e+05,NA,1269011.29,"MAGE","A recuperação e conservação das áreas mais degradadas de manguezal do entorno da Baía de Guanabara (70 hectares - 700.000m²) situadas no Parque Natural Municipal no Bairro Ipiranga - Distrito Praia de Mauá, Município de Magé na divisa com o Município de Duque de Caxias.","Administração Pública Estadual ou do Distrito Federal","SECRETARIA DE ESTADO DO AMBIENTE E SUSTENTABILIDADE","MINISTERIO DO MEIO AMBIENTE","MINISTERIO DO MEIO AMBIENTE",86.39,13.61,"Nao",0
"12",782535,712790,"Convênio Anulado","NÃO","SIM","25/06/2013","01/11/2015",2015,"30/06/2015",3223479,2965600,257879,NA,0,"MARICA","Pavimentação e Drenagem no Município de Maricá.","Administração Pública Municipal","MUNICIPIO DE MARICA","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",0,8,"Sim",4
